证券代码,证券名称,"区间成交均价
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    元","区间涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    %","区间日均涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    %","区间换手率
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","区间日均换手率
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","区间成交量
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间日均成交量
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间成交额
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间日均成交额
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间振幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","相对大盘区间涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[大盘指数选项]    上证指数
[复权方式]    不复权
[单位]    %"
601728.SH,中国电信,5.7663,-1.1966,0.0217,163.0982,0.6740,31951625827.0000,132031511.6818,184243996219.0000,761338827.3512,0.0000,10.8593
601766.SH,中国中车,6.7125,18.4087,0.0838,98.7751,0.4082,24029796028.0000,99296677.8017,161299700472.0000,666527687.9008,0.0000,30.4646
601777.SH,力帆科技,3.7322,2.2005,0.0501,200.2016,0.8273,7208181443.0000,29785873.7314,26902598466.0000,111167762.2562,0.0000,14.2564
601778.SH,晶科科技,3.2414,-50.2119,-0.2651,287.0432,1.1861,10223999043.0000,42247929.9298,33140416687.0000,136943870.6074,0.0000,-38.1560
601788.SH,光大证券,16.4154,-24.7179,-0.0900,216.8150,0.8959,8470308180.0000,35001273.4711,139043827432.0000,574561270.3802,0.0000,-12.6621
601789.SH,宁波建工,4.2515,-24.2236,-0.0794,484.1754,2.0007,5262011663.0000,21743849.8471,22371220452.0000,92443059.7190,0.0000,-12.1677
601798.SH,蓝科高新,7.1494,-28.3727,-0.0711,697.5494,2.8824,2473009430.0000,10219047.2314,17680461099.0000,73059756.6074,0.0000,-16.3169
601799.SH,星宇股份,135.6929,-14.4171,-0.0385,108.9077,0.4500,311126769.0000,1285647.8058,42217694238.0000,174453281.9752,0.0000,-2.3612
601800.SH,中国交建,8.6629,-24.8021,-0.0826,120.1087,0.4963,14109447784.0000,58303503.2397,122228933485.0000,505078237.5413,0.0000,-12.7462
601801.SH,皖新传媒,7.2446,-19.2405,-0.0264,283.7915,1.1727,5644688959.0000,23325160.9876,40893775567.0000,168982543.6653,0.0000,-7.1846
601808.SH,中海油服,16.3673,-4.7804,0.0028,65.5058,0.2707,1939278001.0000,8013545.4587,31740799037.0000,131160326.5992,0.0000,7.2755
601811.SH,新华文轩,13.9505,-0.2884,0.0400,123.4459,0.5101,977572976.0000,4039557.7521,13637646196.0000,56353909.9008,0.0000,11.7675
601816.SH,京沪高铁,5.1677,4.7970,0.0333,49.2563,0.2035,24188017749.0000,99950486.5661,124996669277.0000,516515162.3016,0.0000,16.8529
601818.SH,光大银行,3.1141,1.2945,0.0321,69.7149,0.2881,32352486911.0000,133687962.4421,100747339958.0000,416311322.1405,0.0000,13.3504
601825.SH,沪农商行,6.5285,8.4317,0.0673,126.8935,0.5244,5864718870.0000,24234375.4959,38287548212.0000,158213009.1405,0.0000,20.4876
601827.SH,三峰环境,7.9309,17.8523,0.0897,83.5820,0.3454,1402730060.0000,5796405.2066,11124887910.0000,45970611.1983,0.0000,29.9082
601828.SH,美凯龙,3.5596,-50.7812,-0.2662,97.9210,0.4046,3538322853.0000,14621168.8141,12594871521.0000,52044923.6405,0.0000,-38.7254
601838.SH,成都银行,13.4359,1.3601,0.0383,133.3970,0.5512,5077378699.0000,20980903.7149,68219346869.0000,281898127.5579,0.0000,13.4159
601857.SH,中国石油,8.8621,10.3535,0.0791,24.5290,0.1014,39717882566.0000,164123481.6777,351984533853.0000,1454481544.8471,0.0000,22.4094
601858.SH,中国科传,27.3570,-36.9799,-0.1212,533.8555,2.2060,4220127485.0000,17438543.3264,115450024276.0000,477066216.0165,0.0000,-24.9240
601860.SH,紫金银行,2.6285,-13.1034,-0.0361,304.9512,1.2601,10761769809.0000,44470123.1777,28286919965.0000,116888099.0289,0.0000,-1.0476
601865.SH,福莱特,24.0566,-47.6578,-0.2178,147.2039,0.6083,2714515159.0000,11217004.7893,65301918497.0000,269842638.4174,0.0000,-35.6019
601866.SH,中远海发,2.5004,-5.5556,-0.0056,148.2249,0.6125,12205775273.0000,50437087.9050,30518941562.0000,126111328.7686,0.0000,6.5003
601868.SH,中国能建,2.1840,-8.2305,-0.0317,245.5080,1.0145,34917380190.0000,144286695.0000,76259929755.0000,315123676.6736,0.0000,3.8254
601869.SH,长飞光纤,28.2028,-24.3799,-0.0797,152.3743,0.6296,619155031.0000,2558491.8636,17461906161.0000,72156637.0289,0.0000,-12.3240
601872.SH,招商轮船,7.3474,15.9509,0.0996,121.1284,0.5005,9864404251.0000,40762001.0372,72477275043.0000,299492872.0785,0.0000,28.0068
601877.SH,正泰电器,21.1918,-31.4307,-0.1320,110.7001,0.4574,2379033795.0000,9830718.1612,50415933867.0000,208330305.2355,0.0000,-19.3748
601878.SH,浙商证券,10.9081,-3.8394,0.0113,326.0116,1.3472,12644862975.0000,52251499.8967,137931957734.0000,569966767.4959,0.0000,8.2164
601880.SH,辽港股份,1.4397,-22.6994,-0.0931,64.1894,0.2652,12085799262.0000,49941319.2645,17399673640.0000,71899477.8512,0.0000,-10.6435
601881.SH,中国银河,11.9273,-19.6856,-0.0588,239.7962,0.9909,17025964464.0000,70355225.0579,203074372005.0000,839150297.5413,0.0000,-7.6298
601882.SH,海天精工,26.4013,-29.9902,-0.1122,140.6052,0.5810,733959159.0000,3032889.0868,19377449423.0000,80072105.0537,0.0000,-17.9343
601886.SH,江河集团,6.1531,-47.6667,-0.2305,178.9459,0.7394,2027460743.0000,8377936.9545,12475079601.0000,51549915.7066,0.0000,-35.6108
601888.SH,中国中免,82.6277,-47.1293,-0.2262,242.8479,1.0035,4741545299.0000,19593162.3926,391783112081.0000,1618938479.6736,0.0000,-35.0735
601890.SH,亚星锚链,8.4931,-30.8983,-0.1236,390.0159,1.6116,3741812788.0000,15462036.3141,31779471830.0000,131320131.5289,0.0000,-18.8424
601898.SH,中煤能源,10.9455,47.1631,0.1802,77.1323,0.3187,7059146397.0000,29170026.4339,77265736356.0000,319279902.2975,0.0000,59.2190
601899.SH,紫金矿业,15.0517,20.5027,0.1057,167.6081,0.6926,34435180161.0000,142294132.8967,518307417348.0000,2141766187.3884,0.0000,32.5586
601900.SH,南方传媒,14.9932,-36.3092,-0.1043,483.8697,1.9995,4334875602.0000,17912709.0992,64993654838.0000,268568821.6446,0.0000,-24.2533
601901.SH,方正证券,8.3508,-7.9345,0.0029,343.1400,1.4179,28247636682.0000,116725771.4132,235891776178.0000,974759405.6942,0.0000,4.1214
601908.SH,京运通,3.8183,-55.5351,-0.3017,176.6237,0.7298,4264760727.0000,17622978.2107,16283931898.0000,67288974.7851,0.0000,-43.4792
601916.SH,浙商银行,2.7294,2.5926,0.0384,122.4729,0.5061,26386086170.0000,109033413.9256,72017620201.0000,297593471.9050,0.0000,14.6485
601918.SH,新集能源,6.8118,91.9540,0.3078,347.4841,1.4359,9001720961.0000,37197194.0537,61318272484.0000,253381291.2562,0.0000,104.0099
601919.SH,中远海控,12.2581,24.0927,0.1334,188.3215,0.7782,24044091121.0000,99355748.4339,294734735825.0000,1217912131.5083,0.0000,36.1486
601921.SH,浙版传媒,8.3140,-3.8232,0.0271,906.0088,3.7438,3825368272.0000,15807306.9091,31804293397.0000,131422699.9876,0.0000,8.2327
601928.SH,凤凰传媒,10.3852,-6.2620,0.0218,198.4299,0.8200,5049843375.0000,20867121.3843,52443823161.0000,216710013.0620,0.0000,5.7938
601929.SH,吉视传媒,1.6600,-44.2211,-0.1889,782.2770,3.2325,26652085396.0000,110132584.2810,44242995519.0000,182822295.5331,0.0000,-32.1652
601933.SH,永辉超市,2.6515,-22.8571,-0.0784,194.9878,0.8057,17695216630.0000,73120729.8760,46918218634.0000,193876936.5041,0.0000,-10.8013
601939.SH,建设银行,6.8354,25.7525,0.1221,232.2914,0.9599,22285244261.0000,92087786.2025,152328594580.0000,629457002.3967,0.0000,37.8084
601949.SH,中国出版,8.4228,-43.7864,-0.1834,359.4805,1.4855,6551531636.0000,27072444.7769,55182078517.0000,228025117.8388,0.0000,-31.7305
601952.SH,苏垦农发,10.2237,-23.8994,-0.0857,115.8690,0.4788,1596674788.0000,6597829.7025,16323936292.0000,67454282.1983,0.0000,-11.8435
601956.SH,东贝集团,5.1871,-21.7014,-0.0529,384.6970,1.5897,1949176406.0000,8054447.9587,10110573942.0000,41779231.1653,0.0000,-9.6455
601958.SH,金钼股份,10.7192,-16.1532,-0.0351,154.0216,0.6365,4969668112.0000,20535818.6446,53270679600.0000,220126775.2066,0.0000,-4.0973
601963.SH,重庆银行,7.4889,-15.1775,-0.0388,171.4205,0.7083,1692171629.0000,6992444.7479,12672506006.0000,52365727.2975,0.0000,-3.1216
601965.SH,中国汽研,19.5765,-29.7406,-0.1077,150.3918,0.6215,1478810485.0000,6110787.1281,28949978018.0000,119628008.3388,0.0000,-17.6847
601966.SH,玲珑轮胎,20.3389,-30.3169,-0.1219,196.0206,0.8100,2888408049.0000,11935570.4504,58746998311.0000,242756191.3678,0.0000,-18.2611
601968.SH,宝钢包装,5.2821,-31.7251,-0.1150,204.1589,0.8436,1977709346.0000,8172352.6694,10446406234.0000,43166967.9091,0.0000,-19.6693
601969.SH,海南矿业,6.5739,-18.3381,-0.0527,125.6049,0.5190,2544752658.0000,10515506.8512,16728946196.0000,69127876.8430,0.0000,-6.2822
601975.SH,招商南油,3.3317,-11.7479,-0.0271,486.9622,2.0122,23513370533.0000,97162688.1529,78339218910.0000,323715780.6198,0.0000,0.3080
601985.SH,中国核电,9.1317,46.8027,0.1783,123.0524,0.5085,23236339575.0000,96017932.1281,212188296183.0000,876811141.2521,0.0000,58.8586
601988.SH,中国银行,4.2395,20.8877,0.1054,21.8831,0.0904,46122032896.0000,190586912.7934,195535678102.0000,807998669.8430,0.0000,32.9436
601989.SH,中国重工,4.6372,21.0643,0.0924,107.7188,0.4451,23983145837.0000,99103908.4174,111215834982.0000,459569566.0413,0.0000,33.1202
601990.SH,南京证券,8.1136,-17.3118,-0.0676,140.8107,0.5819,5138569407.0000,21233757.8802,41692129969.0000,172281528.7975,0.0000,-5.2560
601991.SH,大唐发电,2.8073,-6.2706,-0.0077,178.3459,0.7370,22107920692.0000,91355044.1818,62064210333.0000,256463679.0620,0.0000,5.7852
601992.SH,金隅集团,1.8867,-41.8410,-0.2025,105.6232,0.4365,8802806364.0000,36375232.9091,16608637615.0000,68630733.9463,0.0000,-29.7851
601995.SH,中金公司,36.3427,-33.6303,-0.1477,258.6802,1.0689,4067406538.0000,16807465.0331,147820647158.0000,610829120.4876,0.0000,-21.5745
601996.SH,丰林集团,2.3934,-31.0078,-0.1030,296.8245,1.2265,3400489092.0000,14051607.8182,8138693540.0000,33630965.0413,0.0000,-18.9519
601997.SH,贵阳银行,5.4129,-9.9650,-0.0158,216.4170,0.8943,7723979793.0000,31917271.8719,41808920149.0000,172764132.8471,0.0000,2.0908
601998.SH,中信银行,6.2888,6.9808,0.0640,33.3167,0.1377,12024515813.0000,49688081.8719,75619702658.0000,312478110.1570,0.0000,19.0367
601999.SH,出版传媒,6.9588,-27.1487,-0.0750,581.4412,2.4026,3203245279.0000,13236550.7397,22290610979.0000,92109962.7231,0.0000,-15.0928
603000.SH,人民网,30.6338,-37.1906,-0.1323,932.1802,3.8520,10307033319.0000,42591046.7727,315744029543.0000,1304727394.8058,0.0000,-25.1348
603001.SH,奥康国际,5.0215,-24.0901,-0.0939,113.7623,0.4720,456164039.0000,1892796.8423,2290642218.0000,9504739.4938,0.0000,-12.0342
603002.SH,宏昌电子,5.6132,-15.9498,0.0022,724.5321,2.9939,6166191796.0000,25480131.3884,34612065325.0000,143025063.3264,0.0000,-3.8939
603003.SH,*ST龙宇,10.2945,-47.5463,-0.1798,1313.6710,5.4509,5286783452.0000,21936860.7967,54425044433.0000,225830059.8880,0.0000,-35.4905
603004.SH,鼎龙科技,24.8397,3.2143,0.2578,2249.3867,14.9959,1300611111.0000,8670740.7400,32306766687.0000,215378444.5800,0.0000,-40.5552
603005.SH,晶方科技,21.0750,-9.7400,0.0110,1289.2084,5.3273,8407852468.0000,34743192.0165,177195734094.0000,732213777.2479,0.0000,2.3159
603006.SH,联明股份,12.1073,-18.6823,0.0073,742.7229,3.0691,1453073856.0000,6004437.4215,17592740803.0000,72697276.0455,0.0000,-6.6264
603007.SH,ST花王,5.6161,14.9160,0.0974,435.5574,1.7998,1663729967.0000,6874917.2190,9343738614.0000,38610490.1405,0.0000,26.9718
603008.SH,喜临门,18.2620,-36.1066,-0.1521,277.4720,1.1466,1061151817.0000,4384924.8636,19378788890.0000,80077640.0413,0.0000,-24.0507
603009.SH,北特科技,13.3716,137.5362,0.4458,1417.7055,5.8583,4797642691.0000,19824969.7975,64152318958.0000,265092227.0992,0.0000,149.5921
603010.SH,万盛股份,10.0831,-19.5341,-0.0648,132.1348,0.5460,641213879.0000,2649644.1281,6465409211.0000,26716566.9876,0.0000,-7.4782
603011.SH,合锻智能,7.5011,-14.7147,-0.0021,1029.9079,4.2558,5092013546.0000,21041378.2893,38195490653.0000,157832606.0041,0.0000,-2.6588
603012.SH,创力集团,5.4139,-24.9158,-0.0879,303.6653,1.2548,1948018052.0000,8049661.3719,10546351074.0000,43579963.1157,0.0000,-12.8600
603013.SH,亚普股份,16.2454,-13.1959,-0.0161,226.0985,0.9343,1157205323.0000,4781840.1777,18799303938.0000,77683074.1240,0.0000,-1.1400
603015.SH,弘讯科技,8.7681,-23.8041,-0.0512,661.3333,2.7328,2673234790.0000,11046424.7521,23439285287.0000,96856550.7727,0.0000,-11.7482
603016.SH,新宏泰,18.6950,-29.8187,-0.1061,201.1817,0.8313,298070847.0000,1231697.7149,5572422315.0000,23026538.4917,0.0000,-17.7628
603017.SH,中衡设计,10.5012,-25.5185,-0.0604,591.3514,2.4436,1631572658.0000,6742035.7769,17133514448.0000,70799646.4793,0.0000,-13.4626
603018.SH,华设集团,8.9023,-2.5028,0.0334,778.6021,3.2174,5209922401.0000,21528604.9628,46380389661.0000,191654502.7314,0.0000,9.5530
603019.SH,中科曙光,43.3073,-7.6066,0.0123,867.6149,3.5852,12623650567.0000,52163845.3182,546696216334.0000,2259075274.1074,0.0000,4.4492
603020.SH,爱普股份,7.8983,-28.3262,-0.1091,255.8791,1.0574,980625247.0000,4052170.4421,7745290036.0000,32005330.7273,0.0000,-16.2703
603021.SH,山东华鹏,4.6622,-49.4424,-0.2156,771.8479,3.1895,2469512539.0000,10204597.2686,11513440867.0000,47576201.9298,0.0000,-37.3865
603022.SH,新通联,8.8108,-33.0964,-0.1213,365.5043,1.5103,731008670.0000,3020696.9835,6440741377.0000,26614633.7893,0.0000,-21.0406
603023.SH,*ST威帝,4.3835,-53.8642,-0.2265,1231.5776,5.1103,6922448815.0000,28723854.0041,30344843463.0000,125912213.5394,0.0000,-41.8083
603025.SH,大豪科技,12.9315,-7.6383,0.0179,192.4983,0.7954,2134353624.0000,8819643.0744,27600445242.0000,114051426.6198,0.0000,4.4175
603026.SH,石大胜华,41.8260,-50.6425,-0.2468,306.2668,1.2656,620741578.0000,2565047.8430,25963121362.0000,107285625.4628,0.0000,-38.5866
603027.SH,千禾味业,16.0324,-25.1876,-0.0864,261.1694,1.0792,2504885945.0000,10350768.3678,40159441530.0000,165948105.4959,0.0000,-13.1317
603028.SH,赛福天,9.3671,-47.9759,-0.2127,468.4901,1.9359,1344754048.0000,5556834.9091,12596452019.0000,52051454.6240,0.0000,-35.9200
603029.SH,天鹅股份,18.8642,-32.9367,-0.1219,907.1508,3.7486,1100754871.0000,4548573.8471,20764836320.0000,85805108.7603,0.0000,-20.8808
603030.SH,全筑股份,2.5100,-33.7793,-0.0639,296.8337,1.2420,2754484870.0000,11525041.2971,6913859358.0000,28928281.8326,0.0000,-21.7234
603031.SH,安孚科技,34.0454,-47.4340,-0.0845,237.6583,1.0113,355956956.0000,1514710.4511,12118698008.0000,51568927.6936,0.0000,-35.3782
603032.SH,德新科技,19.2917,-52.4460,-0.2342,989.3043,4.0880,2261719503.0000,9345948.3595,43632465558.0000,180299444.4545,0.0000,-40.3902
603033.SH,三维股份,14.8328,-32.3822,-0.1305,83.4466,0.3448,842547114.0000,3481599.6446,12497306902.0000,51641764.0579,0.0000,-20.3263
603035.SH,常熟汽饰,16.5230,-40.2956,-0.1762,314.6521,1.3002,1195775335.0000,4941220.3926,19757782559.0000,81643729.5826,0.0000,-28.2397
603036.SH,如通股份,12.5071,-9.2803,0.0101,456.0065,1.9241,939400780.0000,3963716.3713,11749199382.0000,49574680.9367,0.0000,2.7756
603037.SH,凯众股份,19.6359,-13.4162,0.1942,1661.5078,6.8657,2352970568.0000,9723018.8760,46202604112.0000,190919851.7025,0.0000,-1.3604
603038.SH,华立股份,11.9791,-26.2027,0.0540,1023.1643,4.2280,2146143977.0000,8868363.5413,25708944490.0000,106235307.8099,0.0000,-14.1468
603039.SH,泛微网络,42.2611,-61.4147,-0.3598,138.7482,0.5733,361582052.0000,1494140.7107,15280851022.0000,63144012.4876,0.0000,-49.3588
603040.SH,新坐标,22.8076,-25.4806,-0.0772,358.6683,1.4821,481931964.0000,1991454.3967,10991705303.0000,45420269.8471,0.0000,-13.4247
603041.SH,美思德,11.3968,-19.6309,-0.0498,290.6331,1.2010,532287776.0000,2199536.2645,6066358936.0000,25067598.9091,0.0000,-7.5750
603042.SH,华脉科技,14.2005,-40.1510,-0.1139,2234.3528,9.2329,3588143520.0000,14827039.3388,50953447841.0000,210551437.3595,0.0000,-28.0952
603043.SH,广州酒家,19.2139,-38.8889,-0.1787,110.5939,0.4570,629025987.0000,2599280.9380,12086035737.0000,49942296.4339,0.0000,-26.8330
603045.SH,福达合金,12.8503,-41.5328,-0.1813,757.3562,3.1296,1025802338.0000,4238852.6364,13181843437.0000,54470427.4256,0.0000,-29.4769
603048.SH,浙江黎明,16.9999,-20.5687,-0.0364,1776.4907,7.3409,670092295.0000,2768976.4256,11391471382.0000,47072195.7934,0.0000,-8.5128
603050.SH,科林电气,22.3465,75.0000,0.3609,718.2718,2.9804,1668192827.0000,6921961.9378,37278238187.0000,154681486.2531,0.0000,87.0559
603051.SH,鹿山新材,29.0066,-38.5371,-0.1442,1306.7366,5.3997,645271174.0000,2666409.8099,18717092640.0000,77343358.0165,0.0000,-26.4812
603052.SH,可川科技,35.6606,-5.3043,0.1894,2051.6577,8.4779,613889925.0000,2536735.2273,21891694322.0000,90461546.7851,0.0000,6.7516
603053.SH,成都燃气,9.9523,-14.1014,-0.0382,91.0899,0.3764,809688652.0000,3345820.8760,8058261547.0000,33298601.4339,0.0000,-2.0455
603055.SH,台华新材,10.7260,-1.4706,0.0289,181.1793,0.7487,1608183812.0000,6645387.6529,17249433222.0000,71278649.6777,0.0000,10.5853
603056.SH,德邦股份,14.7978,-25.7971,-0.1029,87.8801,0.3631,864946160.0000,3574157.6860,12799291612.0000,52889634.7603,0.0000,-13.7412
603057.SH,紫燕食品,20.5827,-44.9019,-0.2081,611.8809,2.5284,398245841.0000,1645643.9711,8196975959.0000,33871801.4835,0.0000,-32.8460
603058.SH,永吉股份,8.4619,-17.1301,-0.0236,481.1075,1.9880,2004041273.0000,8281162.2851,16957965642.0000,70074238.1901,0.0000,-5.0743
603059.SH,倍加洁,22.4909,-5.0750,0.0171,305.5475,1.2626,306587760.0000,1266891.5702,6895445086.0000,28493574.7355,0.0000,6.9809
603060.SH,国检集团,8.1397,-47.5799,-0.2378,85.5648,0.3536,687448879.0000,2840697.8471,5595661637.0000,23122568.7479,0.0000,-35.5240
603061.SH,金海通,77.8911,-36.3957,-0.1453,990.1420,4.0915,204112293.0000,843439.2273,15898537288.0000,65696435.0744,0.0000,-24.3398
603062.SH,麦加芯彩,52.0907,-44.7314,-0.2249,1384.5299,7.4437,368407353.0000,1980684.6935,19190597445.0000,103175255.0807,0.0000,-50.6934
603063.SH,禾望电气,20.8441,-52.6692,-0.2744,335.7395,1.3874,1488094683.0000,6149151.5826,31018040939.0000,128173722.8884,0.0000,-40.6133
603065.SH,宿迁联盛,12.2621,-44.9861,-0.1963,1388.1087,5.7360,769877081.0000,3181310.2521,9440283431.0000,39009435.6653,0.0000,-32.9302
603066.SH,音飞储存,11.6723,-17.2608,-0.0104,845.0703,3.4920,2541150879.0000,10500623.4669,29661004672.0000,122566135.0083,0.0000,-5.2049
603067.SH,振华股份,10.7001,7.6990,0.0718,396.8728,1.6400,2008933223.0000,8301376.9545,21495776509.0000,88825522.7645,0.0000,19.7549
603068.SH,博通集成,24.4758,-27.3376,-0.0799,715.5444,2.9568,1076357382.0000,4447757.7769,26344669478.0000,108862270.5703,0.0000,-15.2817
603069.SH,海汽集团,17.9118,-10.6383,0.0006,440.6456,1.8593,1392440134.0000,5875274.8270,24941115420.0000,105236773.9241,0.0000,1.4176
603070.SH,万控智造,13.8193,-34.8347,-0.1406,609.0808,2.5169,507964146.0000,2099025.3967,7019707858.0000,29007057.2645,0.0000,-22.7788
603071.SH,物产环能,14.4737,-25.8238,-0.0935,218.3721,0.9024,519037184.0000,2144781.7521,7512392521.0000,31042944.3017,0.0000,-13.7680
603073.SH,彩蝶实业,18.8044,-27.6915,-0.0927,1616.2019,6.6785,498130910.0000,2058392.1901,9367031529.0000,38706741.8554,0.0000,-15.6356
603075.SH,热威股份,25.1809,-20.7792,0.0260,2058.3913,9.3140,805963312.0000,3646892.8145,20294908844.0000,91832166.7149,0.0000,-44.2690
603076.SH,乐惠国际,27.1930,-50.8946,-0.2509,268.9237,1.1113,324594468.0000,1341299.4545,8826685535.0000,36473907.1694,0.0000,-38.8388
603077.SH,和邦生物,2.1946,-32.2835,-0.1492,159.4095,0.6587,14077849963.0000,58172933.7314,30894801839.0000,127664470.4091,0.0000,-20.2276
603078.SH,江化微,14.5784,-16.5091,-0.0312,614.5779,2.5396,2131366443.0000,8807299.3512,31071966916.0000,128396557.5041,0.0000,-4.4533
603079.SH,圣达生物,12.2392,-3.0928,0.0685,733.1184,3.0294,1255017672.0000,5186023.4380,15360396841.0000,63472714.2190,0.0000,8.9631
603080.SH,新疆火炬,15.5772,-7.1233,0.0185,780.8883,3.2268,1104956997.0000,4565938.0041,17212174774.0000,71124689.1488,0.0000,4.9326
603081.SH,大丰实业,11.8210,-41.6563,-0.1764,313.7595,1.2965,1272212780.0000,5257077.6033,15038867082.0000,62144078.8512,0.0000,-29.6004
603082.SH,北自科技,36.8594,46.5695,0.7439,2192.0626,17.2603,698153167.0000,5497269.0315,25733528270.0000,202626206.8504,0.0000,-33.8990
603083.SH,剑桥科技,42.0564,-43.2941,-0.1599,2283.3501,9.4353,5982053726.0000,24719230.2727,251583911051.0000,1039602938.2273,0.0000,-31.2382
603085.SH,天成自控,9.5656,-19.3353,-0.0346,492.0186,2.0331,1821577944.0000,7527181.5868,17424472861.0000,72001953.9711,0.0000,-7.2795
603086.SH,先达股份,4.8313,-42.3019,-0.1904,320.8489,1.3258,1394581970.0000,5762735.4132,6737701105.0000,27841740.1033,0.0000,-30.2461
603087.SH,甘李药业,46.4711,1.5454,0.0426,430.3879,1.7785,2286804601.0000,9449605.7893,106270373502.0000,439133774.8016,0.0000,13.6013
603088.SH,宁波精达,7.9611,-20.1794,-0.0476,407.3901,1.7189,1764768402.0000,7446280.1772,14049418724.0000,59280247.7806,0.0000,-8.1235
603089.SH,正裕工业,10.4702,-7.4627,0.0182,592.1919,2.4471,1321102429.0000,5459100.9463,13832242785.0000,57158028.0372,0.0000,4.5932
603090.SH,宏盛股份,20.9468,-28.5714,-0.0814,441.6963,1.8252,441696282.0000,1825191.2479,9252141398.0000,38231989.2479,0.0000,-16.5156
603093.SH,南华期货,11.1819,-37.1589,-0.1600,230.7273,0.9534,1407588733.0000,5816482.3678,15739569347.0000,65039542.7562,0.0000,-25.1030
603095.SH,越剑智能,16.1295,5.5480,0.0898,368.1819,1.5214,680400073.0000,2811570.5496,10974505173.0000,45349194.9298,0.0000,17.6039
603096.SH,新经典,17.9958,-18.8369,-0.0302,368.2070,1.5215,598349543.0000,2472518.7727,10767787568.0000,44494989.9504,0.0000,-6.7810
603097.SH,江苏华辰,24.3392,2.2812,0.0809,3058.0329,12.6365,1223213152.0000,5054599.8017,29772072349.0000,123025092.3512,0.0000,14.3371
603098.SH,森特股份,10.8443,-65.8876,-0.4066,275.9904,1.1405,1487036397.0000,6144778.5000,16125898384.0000,66635943.7355,0.0000,-53.8318
603099.SH,长白山,23.4848,77.7441,0.3203,1308.6138,5.4075,3489680525.0000,14420167.4587,81954437079.0000,338654698.6736,0.0000,89.8000
603100.SH,川仪股份,25.8463,-48.6198,-0.1242,188.6828,0.7797,764926086.0000,3160851.5950,19770473084.0000,81696169.7686,0.0000,-36.5639
603101.SH,汇嘉时代,6.6700,-27.6662,-0.0553,517.8972,2.1401,2436188566.0000,10066894.9008,16249450951.0000,67146491.5331,0.0000,-15.6103
603102.SH,百合股份,38.3558,-35.7769,-0.1536,518.5791,2.1429,185596082.0000,766925.9587,7118692772.0000,29416085.8347,0.0000,-23.7211
603103.SH,横店影视,16.1721,-36.4805,-0.1460,180.7903,0.7471,1146571818.0000,4737900.0744,18542507897.0000,76621933.4587,0.0000,-24.4246
603105.SH,芯能科技,10.1928,-48.6575,-0.2298,458.6198,1.8951,2293106696.0000,9475647.5041,23373229903.0000,96583594.6405,0.0000,-36.6016
603106.SH,恒银科技,7.0486,-53.5450,-0.2223,1422.2201,5.8769,7402939940.0000,30590660.9091,52180213514.0000,215620717.0000,0.0000,-41.4891
603107.SH,上海汽配,23.6427,20.2389,0.5744,1896.5173,9.9817,1573353403.0000,8280807.3842,37198269292.0000,195780364.6947,0.0000,-51.8925
603108.SH,润达医疗,18.8288,-9.5598,0.0378,1470.6474,6.0771,8663545244.0000,35799773.7355,163124563824.0000,674068445.5537,0.0000,2.4960
603109.SH,神驰机电,16.1656,-23.4081,-0.0599,469.9641,1.9420,976839485.0000,4036526.7975,15791165438.0000,65252749.7438,0.0000,-11.3523
603110.SH,东方材料,20.8579,-67.4012,-0.3954,727.3830,3.0057,1463689073.0000,6048301.9545,30529424297.0000,126154645.8554,0.0000,-55.3453
603111.SH,康尼机电,5.8220,17.6596,0.1208,392.4252,1.6216,3282917701.0000,13565775.6240,19113271761.0000,78980461.8223,0.0000,29.7154
603112.SH,华翔股份,11.5286,-15.0814,-0.0295,149.1457,0.6163,573966971.0000,2371764.3430,6617029469.0000,27343096.9793,0.0000,-3.0255
603113.SH,金能科技,7.0724,-40.9412,-0.1891,169.4365,0.7002,1438484553.0000,5944151.0455,10173533590.0000,42039395.0000,0.0000,-28.8853
603115.SH,海星股份,12.4381,-29.4618,-0.0987,159.6747,0.6598,381941972.0000,1578272.6116,4750642118.0000,19630752.5537,0.0000,-17.4059
603116.SH,红蜻蜓,5.6512,-30.6452,-0.0966,296.7138,1.2261,1709667070.0000,7064739.9587,9661730208.0000,39924504.9917,0.0000,-18.5893
603117.SH,万林物流,3.9091,29.9120,0.1286,72.5352,0.3010,459252446.0000,1905611.8091,1795255819.0000,7449194.2697,0.0000,41.9679
603118.SH,共进股份,9.2357,-48.7827,-0.2148,703.2930,2.9062,5536308560.0000,22877308.0992,51131906323.0000,211288869.1033,0.0000,-36.7268
