证券代码,证券名称,"区间成交均价
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    元","区间涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    %","区间日均涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    %","区间换手率
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","区间日均换手率
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","区间成交量
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间日均成交量
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间成交额
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间日均成交额
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间振幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","相对大盘区间涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[大盘指数选项]    上证指数
[复权方式]    不复权
[单位]    %"
832522.BJ,纳科诺尔,18.9586,-21.4667,0.0475,986.9398,5.5136,496298840.0000,2772619.2179,9409126141.6000,52564950.5117,0.0000,-26.8821
832566.BJ,梓橦宫,8.5439,11.2540,0.1156,491.7252,2.0319,553129364.0000,2285658.5289,4725888413.0400,19528464.5167,0.0000,23.3099
832651.BJ,天罡股份,15.8043,17.5875,0.1704,842.6824,3.4822,122546077.0000,506388.7479,1936749591.1400,8003097.4840,0.0000,29.6434
832662.BJ,方盛股份,13.3708,-5.7895,0.1073,1943.4022,8.0306,471635258.0000,1948906.0248,6306139864.3000,26058429.1913,0.0000,6.2664
832735.BJ,德源药业,28.7745,-3.6315,0.0351,151.3971,0.6256,80626376.0000,333166.8430,2319987205.5800,9586723.9900,0.0000,8.4243
832786.BJ,骑士乳业,6.5488,-11.0000,0.0507,1144.4108,5.6375,932699625.0000,4594579.4335,6108072234.1000,30089025.7837,0.0000,1.1972
832802.BJ,保丽洁,10.5968,26.4615,0.2219,1480.0727,6.1160,236942597.0000,979101.6405,2510841513.0800,10375378.1532,0.0000,38.5174
832876.BJ,慧为智能,12.3158,12.1982,0.2037,2374.7911,9.8132,563599433.0000,2328923.2769,6941152258.4200,28682447.3488,0.0000,24.2541
832885.BJ,星辰科技,7.2844,14.5455,0.2021,974.8526,4.0283,844964127.0000,3491587.3017,6155070553.7400,25434175.8419,0.0000,26.6013
832978.BJ,开特股份,11.9394,24.4233,0.2237,893.7435,4.2968,772298884.0000,3712975.4038,9220794062.9200,44330740.6871,0.0000,32.4054
